date,symbol,box_score,range_high_5d,range_low_5d,range_pct,range_position_pct,high_tests,low_tests,adr_util_today,vwap_dist_pct,sma_slope_pct,avg_daily_vol_5d,price,num_trades,total_pnl,best_trade_pnl,worst_trade_pnl,win_rate,avg_hold_minutes,exit_reasons,skip_reason
2026-01-02,BAC,6.74,56.55,54.88,3.04,21.6,3,4,0.492,0.34,0.97,12933150,55.24,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-09,T,6.46,24.75,23.87,3.69,38.6,3,4,0.476,0.08,-0.66,28895031,24.21,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-13,KMI,6.3,27.51,26.69,3.07,61.0,4,3,0.44,0.07,0.17,9618127,27.19,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-16,VZ,6.12,40.06,38.8,3.25,35.7,4,3,0.492,0.26,-0.81,23912809,39.25,1,0.0,0.0,0.0,0.0,241.0,time_stop,
2026-01-23,WBD,6.61,28.84,28.07,2.74,33.8,5,4,0.272,0.02,0.14,13029247,28.33,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-26,WBD,6.21,28.84,28.07,2.74,49.4,4,5,0.418,0.06,-0.1,12784628,28.45,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27,WFC,6.4,89.07,86.03,3.53,61.8,3,3,0.436,0.19,-1.84,10693944,87.91,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-28,TFC,6.73,51.14,49.33,3.67,85.6,4,3,0.332,0.1,-0.12,6772842,50.88,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-28,WFC,6.61,89.07,86.03,3.53,93.1,4,3,0.388,0.04,-1.83,10581820,88.86,0,0.0,0.0,0.0,0.0,0.0,,
2026-01-28,USB,6.49,56.7,55.28,2.57,75.4,4,4,0.261,0.02,0.55,9584246,56.35,1,134.89,134.89,134.89,1.0,90.0,midbox_target,
2026-01-30,USB,6.11,56.7,55.32,2.49,65.2,4,5,0.421,0.06,0.77,5632243,56.22,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-13,TEVA,7.68,34.8,33.7,3.26,17.3,3,3,0.296,0.06,1.33,4224642,33.89,1,53.6,53.6,53.6,1.0,198.0,time_stop,
2026-02-17,PFE,6.26,27.94,27.09,3.14,78.8,5,3,0.485,0.03,1.96,30795067,27.76,1,114.92,114.92,114.92,1.0,153.0,time_stop,
2026-02-19,KO,6.33,80.41,78.13,2.92,54.8,4,4,0.391,0.07,2.65,10699965,79.38,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-20,KO,5.92,79.84,78.13,2.19,70.2,5,4,0.393,0.23,2.67,8775788,79.33,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-23,CSCO,6.88,79.48,76.47,3.94,85.4,3,3,0.276,0.19,1.22,13676279,79.04,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-26,KO,6.25,81.09,78.89,2.79,79.5,4,3,0.398,0.09,2.5,8863150,80.64,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-26,CMCSA,6.22,31.85,30.69,3.78,39.7,3,3,0.483,0.43,1.83,14882129,31.15,0,0.0,0.0,0.0,0.0,0.0,,
2026-02-27,CSCO,7.42,79.53,76.94,3.37,14.3,4,3,0.453,0.27,0.31,11860573,77.31,0,0.0,0.0,0.0,0.0,0.0,,
2026-03-02,CSCO,6.34,79.53,77.07,3.19,48.0,4,4,0.293,0.46,0.18,10975903,78.25,0,0.0,0.0,0.0,0.0,0.0,,
2026-03-02,VZ,5.94,50.26,48.87,2.84,93.5,4,3,0.439,0.43,4.94,15948802,50.17,0,0.0,0.0,0.0,0.0,0.0,,
2026-03-03,CSCO,6.35,79.53,77.07,3.19,49.6,5,4,0.375,0.23,0.0,10376366,78.29,1,141.37,141.37,141.37,1.0,40.0,midbox_target,
2026-03-05,SCHW,6.42,96.99,93.5,3.73,81.9,4,4,0.488,0.13,-2.17,5360784,96.36,1,160.0,160.0,160.0,1.0,60.0,midbox_target,
2026-03-11,VZ,6.02,51.32,50.02,2.6,36.9,5,5,0.412,0.26,1.98,15949240,50.5,1,194.8,194.8,194.8,1.0,315.0,time_stop,
2026-03-12,KO,6.01,78.41,76.35,2.7,50.5,4,5,0.436,0.26,-0.19,7806181,77.39,0,0.0,0.0,0.0,0.0,0.0,,
2026-03-13,KO,6.19,78.41,76.53,2.46,60.6,5,5,0.365,0.09,-0.2,7793100,77.67,0,0.0,0.0,0.0,0.0,0.0,,
2026-03-16,PFE,6.35,27.41,26.52,3.36,36.0,4,4,0.413,0.22,-0.54,29721617,26.84,0,0.0,0.0,0.0,0.0,0.0,,
2026-03-16,KO,5.91,78.43,76.59,2.4,88.0,5,4,0.444,0.21,-0.18,7085458,78.21,0,0.0,0.0,0.0,0.0,0.0,,
2026-03-18,USB,5.74,52.36,50.91,2.85,92.4,5,4,0.478,0.59,-3.13,6245105,52.25,0,0.0,0.0,0.0,0.0,0.0,,
2026-03-19,ZION,6.81,54.69,52.69,3.8,35.5,5,3,0.285,0.18,-3.23,670824,53.4,1,514.15,514.15,514.15,1.0,223.0,midbox_target,
2026-03-20,GM,6.26,74.81,72.09,3.77,38.2,3,3,0.421,0.54,-2.67,3838694,73.13,0,0.0,0.0,0.0,0.0,0.0,,
2026-03-20,DIS,6.21,101.02,98.39,2.67,42.2,4,5,0.399,0.08,-1.57,7978429,99.5,0,0.0,0.0,0.0,0.0,0.0,,
2026-03-25,KO,7.3,76.45,74.07,3.21,15.5,3,4,0.499,0.14,-1.6,8260062,74.44,0,0.0,0.0,0.0,0.0,0.0,,
2026-03-26,SCHW,6.49,96.74,93.5,3.47,39.5,3,3,0.409,0.11,0.12,3883857,94.78,0,0.0,0.0,0.0,0.0,0.0,,
2026-03-26,KO,6.02,76.05,74.07,2.67,62.6,5,5,0.477,0.13,-1.76,7951789,75.31,0,0.0,0.0,0.0,0.0,0.0,,
