axis,Alpaca (incumbent),Lightspeed Connect,TradeStation,Cobra Trading + DAS
median_ack_latency_public_ms,~1.5ms post-OMS-v2.0 (Alpaca/Redpanda); 14ms live / 731ms paper buy reported on forum,No public number; marketing "ultra-low latency"; NY4 colocation,<1ms claimed on co-located VPS (PickMyTrade); ~10-30ms typical retail,Sub-ms server-side order validation (DAS marketing); end-to-end depends on route
limit_only_support,Yes (type=limit),Yes (OrderSingle with limit price),Yes (OrderType=Limit),Yes (all tiers; CMD/.NET/FIX)
no_broker_stops_support,Yes (stops optional),Yes (stops optional),Yes (stops optional),Yes (stops optional)
paper_environment,Yes — native paper API; known paper-vs-live ack divergence,Yes — separate Certification Environment; NOT IBKR paper and NOT IBKR live book,Yes — Simulation env via env-flag in SDK; mirrors production endpoints,Yes — DAS Real-Time Simulator (14-day trial; ongoing as paid subscription)
small_cap_symbol_coverage,Full US equities; IEX feed thinner than SIP,Via IBKR clearing; IBKR margin recalc may gate small caps,Full US equities; first-party clearing,Excellent — DAS routes to 100+ destinations
htb_short_locates,Restrictive (Alpaca declines many shorts),Tiered E/L/T system; Velocity Capital partner,Moderate — TS does HTB but not specialist,Best in class (Wedbush clearing; multiple locate sources)
api_maturity_rest,Yes — mature OpenAPI; multi-SDK,No — WebSocket only,Yes — REST + WebSocket; OAuth 2.0,No — CMD over TCP daemon
api_maturity_websocket,Yes — market data + trade updates,Yes — primary protocol,Yes — streaming quotes/orders/positions,No public WS; DAS data feed is internal
api_maturity_fix,No (retail),No,Available (institutional),Yes (Standard tier+ $500/mo)
mature_python_client,Yes — alpaca-py first-party,No — github.com/lightspeed-trading has 0 public repos,Yes — tradestation-api-python 1.3.2 (Mar 2026 async OAuth2),Yes — das-bridge 1.3.0 (Apr 2026 async MIT all order types)
estimated_migration_effort_days,0 (incumbent),15-25 days (custom WS + Cert->Prod + 2-4wk onboarding),5-7 days (broker adapter swap + OAuth + paper validation),8-12 days (DAS daemon + locate side-channel + funding wait)
pricing_per_share_or_per_fill,$0 commission (PFOF revenue),$0.001-0.005/share aligned to IBKR; $0.20/contract options,$0-$1 base + per-share/contract tiers; free tier exists,$0.0015-0.003/share + $100/mo CMD API + $125/mo DAS Pro (waived 250K+ shares)
monthly_platform_fees,$0,$25/mo if under $15K account balance,$0,$100 API + $125 DAS Pro + $63-148 data bundle
account_minimum_usd,$0 cash / $2K margin / $25K PDT,$30000 for Connect,$0 cash / $2K margin / $25K PDT,$27000 (US) / $30000 (non-US)
first_party_broker,Yes,No — introducing broker to IBKR,Yes,No — DAS hosted; Cobra clears through Wedbush
onboarding_estimate_calendar,Same day,2-4 weeks (Cert + IBKR account + production activation),3-5 business days (OAuth client provisioning + funding),5-10 business days (KYC + funding + DAS install)
recommended_use_case_for_us,Stay through 6/15 cutover; default until data proves otherwise,Eliminated — paper env mismatch + no Python client + onboarding too slow,Top migration target if Track 1 confirms latency cost $30-100/day,Migration target if Track 1 implicates routing not just ack; Q3 work
key_disqualifier_if_any,None — incumbent,Cert env is NOT IBKR live matching surface; no public Python client; 2-4wk onboarding,None within criteria,Account minimum $27K; DAS local-daemon adds failure modes
