symbol,date,start,end,already_tested
BDSX,2026-01-12,07:00,12:00,yes
VOR,2026-01-12,08:23,12:00,yes
AKAN,2026-01-12,09:09,12:00,yes
PMAX,2026-01-13,07:00,12:00,yes
SPRC,2026-01-13,07:02,12:00,yes
FJET,2026-01-13,08:10,12:00,yes
BEEM,2026-01-14,07:00,12:00,yes
HOVR,2026-01-14,09:30,12:00,yes
OCUL,2026-01-15,07:00,12:00,yes
QMCO,2026-01-15,08:31,12:00,yes
AUID,2026-01-15,08:57,12:00,yes
MTVA,2026-01-15,09:30,12:00,yes
JFBR,2026-01-16,07:37,12:00,yes
OCG,2026-01-16,09:05,12:00,yes
SMX,2026-02-09,07:00,12:00,yes
OSCR,2026-02-10,07:00,12:00,yes
AZI,2026-02-10,07:15,12:00,yes
UPWK,2026-02-10,09:28,12:00,yes
RVSN,2026-02-11,07:34,12:00,yes
ASBP,2026-02-11,07:45,12:00,yes
RPD,2026-02-11,09:30,12:00,yes
FSLY,2026-02-12,07:26,12:00,yes
JDZG,2026-02-12,08:34,12:00,yes
NVCR,2026-02-12,09:22,12:00,yes
CRSR,2026-02-13,08:41,12:00,yes
NCI,2026-02-13,08:43,12:00,yes
HSDT,2026-02-13,09:01,12:00,yes
CNVS,2026-02-13,09:04,12:00,yes
MCRB,2026-02-13,09:30,12:00,yes
WEN,2026-02-13,09:30,12:00,yes
VERO,2026-01-16,07:00,12:00,no
GWAV,2026-01-16,07:00,12:00,no
APVO,2026-01-09,07:00,12:00,no
ALMS,2026-01-06,07:00,12:00,no
ANPA,2026-01-09,07:00,12:00,no
FLYX,2026-01-08,07:00,12:00,no
HIND,2026-01-27,07:00,12:00,no
MLEC,2026-02-13,07:00,12:00,no
BNAI,2026-02-05,07:00,12:00,no
SNSE,2026-02-18,07:00,12:00,no
ELAB,2026-01-06,07:00,12:00,no
SXTP,2026-01-28,07:00,12:00,no
GRI,2026-01-28,07:00,12:00,no
OPTX,2026-01-06,07:00,12:00,no
MOVE,2026-01-23,07:00,12:00,no
SLE,2026-01-23,07:00,12:00,no
BCTX,2026-01-27,07:00,12:00,no
TNMG,2026-01-16,07:00,12:00,no
LCFY,2026-01-16,07:00,12:00,no
ROLR,2026-01-14,07:00,12:00,no
RVSN,2026-02-05,07:00,12:00,no
PAVM,2026-01-21,07:00,12:00,no
ACON,2026-01-08,07:00,12:00,no
FEED,2026-01-09,07:29,12:00,no
ACCL,2026-01-16,04:00,12:00,no
STKH,2026-01-16,07:14,12:00,no
AZI,2026-01-06,07:27,12:00,no
SHPH,2026-01-09,08:04,12:00,no
IBIO,2026-01-06,07:46,12:00,no
STSS,2026-01-16,07:01,12:00,no
ANNA,2026-02-27,08:30,12:00,no
ARLO,2026-02-27,09:20,12:00,no
CDIO,2026-02-27,09:45,12:00,no
AAOI,2026-02-27,09:30,12:00,no
FIGS,2026-02-27,09:00,12:00,no
ONMD,2026-02-27,08:30,12:00,no
MRM,2026-02-27,08:00,12:00,no
BATL,2026-02-27,08:00,12:00,no
LBGJ,2026-02-27,09:00,12:00,no
MNTS,2026-02-06,07:00,12:00,no
TWG,2026-01-20,07:00,12:00,no
KORE,2026-02-27,08:00,12:00,no
AGIG,2026-02-27,08:00,12:00,no
NGNE,2026-02-27,08:00,12:00,no
XWEL,2026-02-27,08:30,12:00,no
RBNE,2026-02-27,08:00,12:00,no
INDO,2026-02-27,08:00,12:00,no
NAMM,2026-02-27,08:00,12:00,no
TMDE,2026-02-27,08:00,12:00,no
SND,2026-02-27,09:00,12:00,no
RUN,2026-02-27,09:30,12:00,no
AEVA,2026-02-27,09:30,12:00,no
HCTI,2026-02-27,08:00,12:00,no
TSSI,2026-02-27,08:00,12:00,no
PBYI,2026-02-27,09:30,12:00,no
STRZ,2026-02-27,08:00,12:00,no
ENVB,2026-02-19,07:00,12:00,no
RELY,2026-02-19,07:00,12:00,no
ACON,2026-01-06,07:00,12:00,no
FLYX,2026-01-06,07:00,12:00,no
ANPA,2026-01-06,07:00,12:00,no
ELAB,2026-01-08,07:00,12:00,no
OPTX,2026-01-08,07:00,12:00,no
IBIO,2026-01-08,07:00,12:00,no
ALMS,2026-01-09,07:00,12:00,no
AZI,2026-01-09,07:00,12:00,no
ROLR,2026-01-16,07:00,12:00,no
SHPH,2026-01-16,07:00,12:00,no
FEED,2026-01-16,07:00,12:00,no
BCTX,2026-01-16,07:00,12:00,no
HIND,2026-01-16,07:00,12:00,no
PAVM,2026-01-16,07:00,12:00,no
BNAI,2026-01-16,07:00,12:00,no
MOVE,2026-01-27,07:00,12:00,no
SLE,2026-01-27,07:00,12:00,no
RVSN,2026-01-27,07:00,12:00,no
MLEC,2026-01-28,07:00,12:00,no
SNSE,2026-01-28,07:00,12:00,no
ACON,2026-01-27,07:00,12:00,no
FLYX,2026-01-27,07:00,12:00,no
IBIO,2026-01-09,07:00,12:00,no
OPTX,2026-01-09,07:00,12:00,no
ALMS,2026-01-16,07:00,12:00,no
BNAI,2026-01-28,07:00,12:00,no
AZI,2026-01-16,07:00,12:00,no
GRI,2026-01-27,07:00,12:00,no
SXTP,2026-01-27,07:00,12:00,no
ELAB,2026-01-09,07:00,12:00,no
TNMG,2026-01-06,07:00,12:00,no
GWAV,2026-01-06,07:00,12:00,no
VERO,2026-01-06,07:00,12:00,no
ROLR,2026-01-06,07:00,12:00,no
MLEC,2026-01-06,07:00,12:00,no
SNSE,2026-02-05,07:00,12:00,no
HIND,2026-02-05,07:00,12:00,no
PAVM,2026-02-05,07:00,12:00,no
APVO,2026-02-05,07:00,12:00,no
GWAV,2026-02-05,07:00,12:00,no
VERO,2026-02-05,07:00,12:00,no
ALMS,2026-02-13,07:00,12:00,no
ANPA,2026-02-13,07:00,12:00,no
ACON,2026-02-13,07:00,12:00,no
FLYX,2026-02-13,07:00,12:00,no
ROLR,2026-02-13,07:00,12:00,no
GWAV,2026-02-13,07:00,12:00,no
VERO,2026-02-13,07:00,12:00,no
BATL,2026-02-18,07:00,12:00,no
AAOI,2026-02-18,07:00,12:00,no
